ID,target,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19
0,334.4,1530.53,0.0,1983.0,303.87,-548.41,227.27,2.92,,46.0,2,4.8,27.3,448.55,,0.0,14.6,A4,610.57,C1,B1
1,-109.6,1396.87,0.0,1627.0,509.1,-364.2,267.16,0.49,10,28.0,3,0.6,3.9,487.77,19.8,0.0,-12.9,A4,,C1,B1
2,1422.4,1481.36,0.0,2000.0,292.26,,707.91,,21,46.0,3,2.0,26.8,373.05,-184.18,0.0,14.2,A3,476.66,C1,B1
3,8.4,1318.46,0.0,1271.0,444.35,-783.68,413.68,0.02,6,,1,0.9,,589.83,-4.2,0.0,20.5,A3,689.17,C1,B1
4,-133.6,1235.56,0.0,988.0,141.88,-362.29,404.24,0.84,11,49.0,1,1.4,12.6,420.03,-124.16,0.0,2.1,A2,,C1,B1
5,-504.6,1569.27,0.0,,,-919.45,390.79,0.0,22,,6,1.7,-4.2,453.42,-134.07,0.0,-11.4,A1,708.96,C1,B1
6,-81.6,1450.73,0.0,1968.0,135.24,-327.92,445.79,2.16,11,46.0,0,1.4,33.2,485.53,-198.13,0.0,20.0,A3,510.91,C1,B1
7,-582.6,1289.29,0.5,1754.0,247.7,-694.73,27.23,0.51,15,96.0,1,0.6,25.2,401.65,-181.82,0.0,24.5,A3,541.72,C1,B1
8,-83.6,1296.31,0.0,990.0,,-849.04,352.56,0.0,22,66.0,3,2.7,,333.68,-178.01,0.0,-1.8,A2,633.77,C1,B1
9,1908.4,1377.02,0.0,783.0,,-691.18,381.62,0.08,,43.0,0,0.9,17.3,417.05,-70.88,0.0,,A4,713.53,C1,B1
10,550.4,1520.14,0.0,2000.0,394.85,-655.49,359.62,0.0,22,55.0,2,0.9,9.2,631.93,-58.34,0.0,0.6,A4,610.48,C1,B1
11,-485.6,,0.0,,361.92,-634.97,34.03,0.0,3,75.0,3,1.1,6.5,306.69,-28.8,0.0,2.3,A4,693.92,C1,B1
12,410.4,1394.86,0.0,1995.0,409.2,-521.31,497.68,2.22,14,37.0,4,1.5,25.8,464.8,,0.0,,A4,748.1,C1,B1
13,522.4,1313.55,0.0,,261.06,-523.99,387.75,0.0,20,57.0,,1.4,17.6,494.6,24.19,0.0,8.9,A4,521.62,C1,B2
14,1109.4,1452.2,0.0,1980.0,309.4,-598.12,450.99,2.42,,32.0,5,3.8,25.4,414.87,,0.0,7.4,A4,683.01,C1,B1
15,14.4,1440.47,2.0,336.0,304.15,-466.66,428.26,0.14,9,86.0,4,1.2,23.6,335.16,-284.95,0.0,21.1,A4,534.35,C1,B1
16,808.4,1309.79,0.0,758.0,377.89,,424.1,0.0,21,56.0,0,0.7,13.4,362.24,82.14,0.0,4.7,A4,736.8,C1,B1
17,-620.6,1581.35,0.0,1941.0,445.97,-697.35,274.44,0.0,5,56.0,5,,-5.8,403.13,18.12,0.0,-13.1,A1,614.01,C1,B1
18,1464.4,1452.52,,1992.0,172.77,-421.69,441.2,0.01,20,69.0,1,1.6,27.7,323.88,,0.0,21.4,A3,683.6,C1,B1
19,924.4,1199.85,0.0,2000.0,294.58,-431.89,544.58,,,59.0,1,1.1,19.1,422.75,-42.15,0.0,10.8,A3,697.39,C1,B1
20,282.4,1321.99,0.0,1299.0,,-693.02,406.57,1.59,9,31.0,2,1.7,11.2,459.87,-18.58,0.0,-5.3,A2,632.64,C1,B1
21,1219.4,1336.45,0.0,1870.0,245.57,-541.16,386.76,0.0,21,80.0,4,2.3,,445.18,-97.98,0.0,23.4,A3,771.95,C1,B1
22,314.4,1614.27,0.0,894.0,355.57,-481.57,,2.88,12,33.0,4,1.8,22.5,527.78,-125.68,,5.4,A2,757.25,C1,B1
23,-24.6,1263.47,0.0,1509.0,369.5,-632.57,442.86,0.0,23,41.0,1,1.1,10.1,,36.02,0.0,-2.5,A2,595.4,C1,B1
24,891.4,1293.73,0.0,1972.0,342.41,-834.61,369.97,,17,33.0,,2.2,,293.47,-36.57,,0.5,A4,723.48,C1,B1
25,-451.6,1199.95,0.0,2000.0,442.94,-537.51,428.74,0.0,3,59.0,,1.4,27.4,489.94,69.63,0.0,18.6,A3,595.71,C1,B1
26,-704.6,1437.3,0.0,2000.0,419.53,-479.42,339.74,0.0,,60.0,6,0.2,18.1,469.95,-44.76,0.0,10.2,A4,615.86,No,B1
27,1581.4,,0.0,2000.0,423.34,-1081.56,461.01,0.36,19,45.0,3,2.5,29.8,,-50.88,0.0,16.5,A3,771.58,C1,B1
28,689.4,1385.23,0.0,1827.0,380.12,-788.43,189.67,0.0,23,62.0,2,0.1,21.5,609.05,,0.0,13.9,A3,679.71,C1,B1
29,1006.4,1458.44,0.0,2000.0,356.03,-633.22,282.18,0.34,,15.0,5,2.0,20.7,321.14,-43.47,0.0,-6.9,A2,607.81,C1,B1
30,157.4,1707.03,0.0,2000.0,215.61,-474.07,447.39,0.0,18,66.0,3,,0.6,489.49,-43.52,0.0,-5.0,A1,691.7,C1,B1
31,958.4,1475.49,0.0,1919.0,452.57,-761.25,288.17,0.45,19,49.0,0,3.6,13.3,338.39,-145.22,0.0,2.7,A2,,C1,B1
32,-704.6,1170.62,0.0,,,-423.35,287.01,0.03,7,74.0,2,0.8,19.0,505.97,,,14.2,A4,535.06,No,B1
33,1438.4,1407.28,0.0,2000.0,229.9,-421.75,285.35,1.66,16,23.0,6,,22.2,403.59,-183.9,,0.0,A2,703.03,C1,B1
34,-517.6,1125.6,,275.0,40.08,,327.04,,4,85.0,4,0.3,18.0,329.79,2.6,0.0,15.4,A2,632.55,C1,B2
35,-649.6,1337.72,4.5,402.0,284.02,-566.19,519.53,,2,91.0,2,0.4,,,-98.77,0.0,12.9,A4,517.06,C1,B1
36,-329.6,1335.9,0.0,1430.0,472.02,-443.46,457.1,2.86,14,36.0,2,6.0,1.2,428.31,-20.21,0.0,,A2,609.07,C1,B2
37,-593.6,1541.03,0.0,1906.0,256.91,-591.98,609.59,1.17,12,30.0,,2.7,-14.4,447.08,-133.5,0.5,-28.2,A1,510.23,C1,B1
38,157.4,1365.91,0.0,596.0,,-355.8,215.2,1.34,10,,2,1.1,21.4,356.93,17.82,0.0,18.7,A3,640.8,C1,B1
39,1407.4,1354.8,0.0,1962.0,260.81,-373.06,257.0,0.45,19,58.0,0,3.2,32.6,404.57,-40.27,0.0,23.2,A3,666.95,C1,B1
40,-21.6,1502.73,,,,,306.78,1.23,,50.0,1,1.1,8.3,,-142.6,,-1.5,A4,730.71,C1,B1
41,480.4,1316.05,0.0,1534.0,109.53,-706.07,182.53,2.0,,24.0,1,1.5,15.3,397.29,-54.2,0.0,-5.1,A2,680.63,C1,B1
42,-354.6,1388.66,0.0,1906.0,437.62,-835.81,199.33,1.12,14,27.0,5,3.1,,625.99,-104.29,0.0,-17.9,A1,654.1,C1,B1
43,-704.6,1393.21,0.0,,468.37,-589.56,389.25,0.0,23,69.0,4,,16.6,471.17,-16.6,0.0,10.8,A4,532.72,No,B1
44,-704.6,1413.55,0.0,1913.0,423.29,-496.56,410.82,2.22,15,38.0,5,2.6,21.8,341.5,-81.11,0.0,6.8,A4,674.38,No,B1
45,-392.6,1523.01,0.0,986.0,380.46,-748.11,289.01,,12,67.0,2,3.9,6.9,249.38,-71.16,,1.1,A1,668.91,C1,B1
46,-444.6,,0.0,1172.0,425.78,-648.78,102.92,,,84.0,2,,27.9,547.84,-71.49,0.0,24.9,A3,657.17,C1,B1
47,875.4,1385.93,0.0,2000.0,198.6,-728.13,253.57,0.16,8,70.0,4,1.4,24.2,317.43,-57.42,0.0,18.3,A4,542.6,C1,B1
48,1132.4,1332.17,0.0,1232.0,348.05,-711.56,118.68,2.41,16,48.0,5,3.1,28.3,424.73,-82.93,0.0,16.2,A3,555.93,C1,B1
49,-526.6,1372.22,0.0,1885.0,395.93,-532.55,210.87,0.0,0,65.0,2,2.2,2.0,487.36,-21.71,0.0,-3.9,A1,447.44,C1,B1
50,-598.6,1209.67,0.0,1208.0,600.32,-727.91,150.34,,5,53.0,0,0.4,3.3,452.25,-62.41,0.0,-5.3,A2,686.63,C1,B1
51,361.4,1247.81,0.0,1189.0,215.55,,,0.0,7,72.0,1,0.3,4.4,534.27,-52.13,0.0,-0.2,A4,541.9,C1,B1
52,-85.6,1312.17,0.0,,397.54,-562.9,395.58,2.57,11,56.0,4,1.9,32.7,335.64,,0.0,22.7,A3,490.06,C1,B1
